国名,2019名目GDP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりGDP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2019純受取ODA,2019一人当たり純受取ODA,2020名目GDP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりGDP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター,2020純受取ODA,2020一人当たり純受取ODA
Aruba,3310055866,3164773635,31135.88436,-2.08560029,-2.512956903,4.257462043,14.36789897,5.56880542,3.107670277,45.75877692,2496648045,2458429455,23384.29879,-22.31894795,-22.65072548,,1.647876375,-2.902756399,,
Africa Eastern and Southern,9.98E+11,1.01E+12,1511.309259,2.025940679,-0.59503653,4.12024587,21.01147825,4.38734149,21.66485445,108.7652213,9.22E+11,9.84E+11,1360.878645,-2.886855648,-5.35281931,5.404814672,20.50037602,4.99550678,20.71754143,108.0616345
Afghanistan,18799450743,21118462797,494.1793499,3.911603419,1.535636674,2.302372515,,6.521479845,2.410558492,41.24086302,20116137326,20621946476,516.7478708,-2.351100673,-4.575031864,,,7.821667127,,
Africa Western and Central,7.95E+11,8.28E+11,1777.852822,3.202544187,0.504841729,1.758565176,21.09649113,1.582289576,0.033802353,0.669593064,7.84E+11,8.21E+11,1709.764129,-0.897014041,-3.465696887,2.492521734,26.3786542,1.128351692,0.225775393,3.373367574
Angola,69309104807,83138725241,2177.799015,-0.699999998,-3.868559124,17.08121521,32.09564743,19.18427566,0.177957604,9.477291196,53619071176,78566095350,1631.431691,-5.500000003,-8.493086121,,26.4605303,18.0367683,2.082768308,109.2200509
Albania,15401830754,12967692915,5396.215864,2.088063376,2.523893723,1.41109079,14.39660635,1.256589952,,,15131866271,12516205780,5332.160475,-3.481630373,-2.925820957,1.620886617,13.50305531,0.678486249,,
Andorra,3155149348,3008967037,40898.41791,2.015547638,1.833060593,,,1.374753508,1.128923962,73.95374603,2891001149,2672445971,37416.69772,-11.18393994,-11.32073035,,,1.113786074,,
Arab World,2.81E+12,2.74E+12,6562.969998,1.586319316,-0.317407141,1.091848027,30.24524725,2.760047528,,,2.50E+12,2.60E+12,5724.28687,-5.051382598,-6.839059283,1.777407838,22.28358111,0.672423919,,
United Arab Emirates,4.17E+11,3.95E+11,42701.44305,3.411538686,1.934431483,-1.931081148,,-4.444037106,0.002025245,0.196044791,3.59E+11,3.71E+11,36284.55524,-6.134500803,-7.272172975,-2.079403179,,-8.363357271,0.026693457,2.231979367
Argentina,4.53E+11,5.71E+11,10076.35524,-2.025934237,-2.994387889,,14.31157961,50.92149871,2.911879528,135.8441373,3.90E+11,5.15E+11,8585.694742,-9.895268964,-10.76510773,,18.62522953,39.89121743,0.848687997,35.64349044
Armenia,13619291361,12867495686,4604.646324,7.599999999,7.38219728,1.443446608,9.815573921,1.065622639,,,12641209802,11915301005,4266.018074,-7.4,-7.572060526,1.211435778,14.71852224,2.022541134,,
American Samoa,648000000,628818320.6,11715.36014,-0.487804878,-0.219737965,,,1.905550953,1.735085983,282.5516196,709000000,653477862.6,12844.90099,3.921568627,4.138083663,,,5.284765898,1.915883555,263.2546431
Antigua and Barbuda,1687533333,1630215842,17376.64968,4.862236166,3.96278456,1.431355982,26.38342703,0.208076985,,,1370281481,1301036618,13992.74448,-20.19237057,-20.85493493,0.625989707,14.28595947,1.744986282,,
Australia,1.39E+12,1.49E+12,54875.28596,2.113149425,0.571102988,1.610767873,22.52853371,3.418785916,,,1.33E+12,1.49E+12,51680.31652,-0.003836559,-1.278526283,0.846905537,24.05023683,1.783655358,,
Austria,4.45E+11,4.14E+11,50114.40111,1.49121085,1.04090812,1.530895642,27.75799005,1.622589405,0.255167865,11.79036969,4.33E+11,3.87E+11,48588.65938,-6.734514076,-7.120927967,1.381910634,27.70314689,2.312344592,0.285859871,12.01511372
Azerbaijan,48174235294,53612524596,4805.753718,2.500000067,1.635850481,2.610571828,28.57354797,-0.241307927,21.39504603,48.03315355,42693000000,51307185984,4229.910649,-4.300000102,-4.952701739,2.75980947,23.56898183,-7.395965827,17.13203977,40.27069425
Burundi,2581268126,3207836474,223.8628757,1.812565324,-1.323758173,-0.686772171,,1.037765836,,,2780510625,3218331132,233.8375103,0.327156893,-2.712024741,7.321106434,,10.99444514,,
