国名,2019名目DGP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりDGP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2019純受取ODA,2019一人当たり純受取ODA,2020名目DGP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりDGP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター,2020純受取ODA,2020一人当たり純受取ODA
Africa Eastern and Southern,9.98E+11,1.01E+12,1511.309259,2.025940679,-0.59503653,4.12024587,21.01147825,4.38734149,21.66485445,108.7652213,9.22E+11,9.84E+11,1360.878645,-2.886855648,-5.35281931,5.404814672,20.50037602,4.99550678,20.71754143,108.0616345
Africa Western and Central,7.95E+11,8.28E+11,1777.852822,3.202544187,0.504841729,1.758565176,21.09649113,1.582289576,0.033802353,0.669593064,7.84E+11,8.21E+11,1709.764129,-0.897014041,-3.465696887,2.492521734,26.3786542,1.128351692,0.225775393,3.373367574
Austria,4.45E+11,4.14E+11,50114.40111,1.49121085,1.04090812,1.530895642,27.75799005,1.622589405,0.255167865,11.79036969,4.33E+11,3.87E+11,48588.65938,-6.734514076,-7.120927967,1.381910634,27.70314689,2.312344592,0.285859871,12.01511372
Azerbaijan,48174235294,53612524596,4805.753718,2.500000067,1.635850481,2.610571828,28.57354797,-0.241307927,21.39504603,48.03315355,42693000000,51307185984,4229.910649,-4.300000102,-4.952701739,2.75980947,23.56898183,-7.395965827,17.13203977,40.27069425
Belgium,5.35E+11,4.95E+11,46599.11134,2.111531644,1.561146953,1.43681957,25.02407893,1.794827211,4.162700508,50.25865573,5.22E+11,4.67E+11,45189.3669,-5.680733655,-6.132229512,0.740791812,25.07486667,1.254807525,6.773458722,86.53904728
Benin,14391686633,14179807327,1219.515506,6.865687336,4.003089135,-0.705026635,21.71942726,-0.397554452,7.227559906,54.51056065,15651545332,14725558673,1291.040972,3.8487924,1.090098527,3.022721197,21.31488357,2.878032289,10.38588577,82.79993401
"Bahamas, The",13192800000,12574766786,33872.33431,1.896163703,0.888676588,2.491235274,20.24793403,1.501262439,2.286782862,139.4881221,9699500000,9579129439,24665.09683,-23.82260759,-24.55135726,0.038521098,11.63885743,-3.48689981,2.211358629,133.3418682
Bosnia and Herzegovina,20201323283,18413846533,6119.762351,2.831001403,3.545336186,0.562782154,18.90483962,2.63114018,0.329587579,21.86786598,19955120005,17839465168,6082.36673,-3.119290497,-2.523297319,-1.051296008,16.23434563,0.176003498,1.422024857,87.72006483
Belarus,64409647194,59013474193,6837.717826,1.4,1.604818192,5.59815595,27.82238987,8.626732645,1.988999548,90.79008028,61489588895,58482352925,6555.426818,-0.9,-0.479446185,5.548143575,25.62797119,12.13417333,4.533780903,174.1105308
Bolivia,40895322851,38193230080,3552.068144,2.21670564,0.796515958,1.83954505,14.16801038,-0.693003272,0.014999863,1.290692323,36629843806,34855949803,3137.989617,-8.737884358,-9.988226181,0.940742153,12.48231206,-1.854386683,0.04342545,2.881217988
