国名,2019名目DGP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりDGP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2020名目DGP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりDGP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター
Africa Eastern and Southern,9.98E+11,1.01E+12,1511.309259,2.025940679,-0.59503653,4.12024587,21.01147825,4.38734149,9.22E+11,9.84E+11,1360.878645,-2.886855648,-5.35281931,5.404814672,20.50037602,4.99550678
Africa Western and Central,7.95E+11,8.28E+11,1777.852822,3.202544187,0.504841729,1.758565176,21.09649113,1.582289576,7.84E+11,8.21E+11,1709.764129,-0.897014041,-3.465696887,2.492521734,26.3786542,1.128351692
Albania,15401830754,12967692915,5396.215864,2.088063376,2.523893723,1.41109079,14.39660635,1.256589952,15131866271,12516205780,5332.160475,-3.481630373,-2.925820957,1.620886617,13.50305531,0.678486249
Arab World,2.81E+12,2.74E+12,6562.969998,1.586319316,-0.317407141,1.091848027,30.24524725,2.760047528,2.50E+12,2.60E+12,5724.28687,-5.051382598,-6.839059283,1.777407838,22.28358111,0.672423919
Armenia,13619291361,12867495686,4604.646324,7.599999999,7.38219728,1.443446608,9.815573921,1.065622639,12641209802,11915301005,4266.018074,-7.4,-7.572060526,1.211435778,14.71852224,2.022541134
Antigua and Barbuda,1687533333,1630215842,17376.64968,4.862236166,3.96278456,1.431355982,26.38342703,0.208076985,1370281481,1301036618,13992.74448,-20.19237057,-20.85493493,0.625989707,14.28595947,1.744986282
Australia,1.39E+12,1.49E+12,54875.28596,2.113149425,0.571102988,1.610767873,22.52853371,3.418785916,1.33E+12,1.49E+12,51680.31652,-0.003836559,-1.278526283,0.846905537,24.05023683,1.783655358
Austria,4.45E+11,4.14E+11,50114.40111,1.49121085,1.04090812,1.530895642,27.75799005,1.622589405,4.33E+11,3.87E+11,48588.65938,-6.734514076,-7.120927967,1.381910634,27.70314689,2.312344592
Azerbaijan,48174235294,53612524596,4805.753718,2.500000067,1.635850481,2.610571828,28.57354797,-0.241307927,42693000000,51307185984,4229.910649,-4.300000102,-4.952701739,2.75980947,23.56898183,-7.395965827
Belgium,5.35E+11,4.95E+11,46599.11134,2.111531644,1.561146953,1.43681957,25.02407893,1.794827211,5.22E+11,4.67E+11,45189.3669,-5.680733655,-6.132229512,0.740791812,25.07486667,1.254807525
Benin,14391686633,14179807327,1219.515506,6.865687336,4.003089135,-0.705026635,21.71942726,-0.397554452,15651545332,14725558673,1291.040972,3.8487924,1.090098527,3.022721197,21.31488357,2.878032289
Bangladesh,3.51E+11,2.58E+11,2154.226819,7.881915151,6.777292217,5.591996399,36.35349864,3.658137552,3.74E+11,2.67E+11,2270.347535,3.448021455,2.415855202,5.691074747,37.19009686,3.841062743
Bulgaria,68915416142,57443866470,9879.268533,4.037592082,4.772502064,3.103729448,24.2889721,5.236819061,69889347433,54923717978,10079.20338,-4.387149834,-3.811515942,1.672440969,21.37985379,4.202619231
"Bahamas, The",13192800000,12574766786,33872.33431,1.896163703,0.888676588,2.491235274,20.24793403,1.501262439,9699500000,9579129439,24665.09683,-23.82260759,-24.55135726,0.038521098,11.63885743,-3.48689981
Bosnia and Herzegovina,20201323283,18413846533,6119.762351,2.831001403,3.545336186,0.562782154,18.90483962,2.63114018,19955120005,17839465168,6082.36673,-3.119290497,-2.523297319,-1.051296008,16.23434563,0.176003498
Belarus,64409647194,59013474193,6837.717826,1.4,1.604818192,5.59815595,27.82238987,8.626732645,61489588895,58482352925,6555.426818,-0.9,-0.479446185,5.548143575,25.62797119,12.13417333
Bolivia,40895322851,38193230080,3552.068144,2.21670564,0.796515958,1.83954505,14.16801038,-0.693003272,36629843806,34855949803,3137.989617,-8.737884358,-9.988226181,0.940742153,12.48231206,-1.854386683
Brazil,1.87E+12,1.82E+12,8876.059836,1.220777823,0.462903687,3.732976212,11.87830621,4.22425887,1.45E+12,1.75E+12,6814.875632,-3.878676334,-4.561462507,3.211768038,14.15060866,5.140222397
Brunei Darussalam,13469422959,13278836553,31085.96193,3.869109865,2.829690022,-0.390522069,53.55344169,-3.335767975,12005825770,13429361906,27442.95383,1.13357335,0.165658547,1.940319966,50.90864167,-10.86375956
Bhutan,2535657069,2470944512,3322.863329,5.755169993,4.549737283,2.725821043,21.37668783,0.899053929,2315436303,2221963713,3000.777986,-10.07634116,-11.06902884,5.62999178,18.22258444,6.852907496
Botswana,16695925027,16244208065,7247.429476,3.348910139,1.122135896,2.772864429,26.53250138,0.716018582,14930072799,14826671812,6348.832318,-8.726410346,-10.58640629,1.890359168,25.41868875,4.351846786
Canada,1.74E+12,1.70E+12,46328.67184,1.879592028,0.426917853,1.949269024,20.01542161,1.47519792,1.65E+12,1.61E+12,43258.26387,-5.233024303,-6.31922237,0.716999632,18.88341052,0.749680464
Central Europe and the Baltics,1.67E+12,1.52E+12,16346.56181,4.072102277,4.214346745,2.664561334,22.50310816,3.188931533,1.65E+12,1.46E+12,16197.29935,-3.770298718,-3.557308871,1.672440969,22.4461951,2.368618962
Switzerland,7.32E+11,7.58E+11,85334.51946,1.210992207,0.491609145,0.36288618,31.86302307,-0.105744561,7.52E+11,7.40E+11,87100.41482,-2.392826042,-3.085400925,-0.725874933,31.32448194,-0.502868266
Chile,2.79E+11,2.62E+11,14699.46278,0.770539584,-0.414485105,2.557544757,20.11060008,2.578359014,2.53E+11,2.46E+11,13220.57076,-5.978224062,-6.785702733,3.045490848,20.28912215,8.817322377
